timestamp,temperature,humidity,water_level,N,P,K,Fan_actuator_OFF,Fan_actuator_ON,Watering_plant_pump_OFF,Watering_plant_pump_ON,Water_pump_actuator_OFF,Water_pump_actuator_ON
2024-01-01 13:56:00,14,70,75,178,186,157,1,0,1,0,1,0
2024-01-01 14:01:00,14,70,100,178,186,157,1,0,1,0,1,0
2024-01-01 14:06:00,14,67,88,178,186,157,1,0,1,0,1,0
2024-01-01 14:11:00,14,69,88,178,186,157,1,0,1,0,1,0
2024-01-01 14:16:00,14,68,81,178,186,157,1,0,1,0,1,0
2024-01-01 14:21:00,14,71,75,178,186,157,1,0,1,0,1,0
2024-01-01 14:26:00,14,70,78,178,186,157,1,0,1,0,1,0
2024-01-01 14:26:00,14,67,4,178,186,157,1,0,1,0,0,1
2024-01-01 14:31:00,14,68,100,178,186,157,1,0,1,0,1,0
2024-01-01 14:36:00,14,70,81,178,186,157,1,0,1,0,1,0
2024-01-01 14:41:00,14,69,71,178,186,157,1,0,1,0,1,0
2024-01-01 14:46:00,14,68,86,178,186,157,1,0,1,0,1,0
2024-01-01 14:51:00,14,68,97,178,186,157,1,0,1,0,1,0
2024-01-01 14:56:00,14,69,83,178,186,157,1,0,1,0,1,0
2024-01-01 15:01:00,14,71,73,178,186,157,1,0,1,0,1,0
2024-01-01 15:06:00,14,68,70,178,186,157,1,0,1,0,1,0
2024-01-01 15:11:00,13,67,89,178,186,157,1,0,1,0,1,0
2024-01-01 15:16:00,13,70,73,178,186,157,1,0,1,0,1,0
2024-01-01 15:21:00,13,71,81,178,186,157,1,0,1,0,1,0
2024-01-01 15:26:00,13,69,86,178,186,157,1,0,1,0,1,0
2024-01-01 15:31:00,13,67,80,178,186,157,1,0,1,0,1,0
2024-01-01 15:36:00,13,69,79,178,186,157,1,0,1,0,1,0
2024-01-01 15:39:00,13,69,4,178,186,157,1,0,1,0,0,1
2024-01-01 15:41:00,13,69,79,178,186,157,1,0,1,0,1,0
